N°,Country,Total Cases,New Cases,Total deaths,New deaths,Total recovered,Active cases
129,Réunion,8846,+45,42,,8219,585
130,Guadeloupe,8588,,154,,2242,6192
131,Hong Kong,8354,+53,133,+1,7112,1109
132,Eswatini,7868,+153,153,+11,6879,836
133,Bahamas,7788,+16,169,,6166,1453
134,Andorra,7669,+36,82,,7106,481
135,Rwanda,7598,+87,66,,6163,1369
136,Trinidad and Tobago,7071,+47,125,,6495,451
137,Congo,6571,,100,,4988,1483
138,Mali,6347,+56,229,+4,3927,2191
139,Malawi,6261,+13,187,,5675,399
140,Guyana,6258,+42,162,+2,5448,648
141,Martinique,6049,,42,,98,5909
142,Nicaragua,5938,,163,,4225,1550
143,Djibouti,5786,,61,,5676,49
144,Mayotte,5767,+59,54,+1,2964,2749
145,Thailand,5762,+46,60,,4095,1607
146,Iceland,5683,+16,28,,5506,149
147,Suriname,5669,,118,,5323,228
148,Burkina Faso,5461,,77,,3877,1507
149,Equatorial Guinea,5236,+5,85,,5078,73
150,Aruba,5228,+29,47,,5008,173
151,CAR,4948,+12,63,,1924,2961
152,Somalia,4690,,127,,3605,958
153,Curaçao,4006,,11,,2360,1635
154,Gambia,3791,,123,,3659,9
155,Togo,3467,,66,,3091,310
156,South Sudan,3234,,62,,3111,61
157,Benin,3167,,44,,3061,62
158,Niger,2803,,89,,1508,1206
159,Channel Islands,2776,,55,,1740,981
160,Lesotho,2725,+148,51,+1,1466,1208
161,Sierra Leone,2524,+6,76,+1,1866,582
162,Guinea-Bissau,2447,,45,,2386,16
163,San Marino,2205,+30,56,,1846,303
164,New Zealand,2128,+7,25,,2054,49
165,Yemen,2087,,606,,1384,97
166,Chad,1916,,102,,1634,180
167,Liechtenstein,1858,+33,30,+2,1591,237
168,Liberia,1779,,83,,1406,290
169,Vietnam,1421,+1,35,,1281,105
170,Gibraltar,1398,+68,6,,1075,317
171,Sint Maarten,1362,,26,,1214,122
172,Mongolia,1063,+57,,,541,522
173,Sao Tome and Principe,1012,,17,,958,37
174,Saint Martin,961,+43,12,,855,94
175,Eritrea,877,+45,1,,599,277
176,Turks and Caicos,807,,6,,761,40
177,Taiwan,776,+6,7,,632,137
178,Burundi,773,+11,2,,687,84
179,Papua New Guinea,761,,9,,601,151
180,Monaco,756,,3,,636,117
181,Diamond Princess,712,,13,,699,0
182,Comoros,693,,7,,615,71
183,Faeroe Islands,556,+6,,,526,30
184,Bermuda,553,,9,,291,253
185,Mauritius,527,+1,10,,496,21
186,Tanzania,509,,21,,183,305
187,Bhutan,482,+3,,,435,47
188,Isle of Man,374,,25,,346,3
189,Cambodia,363,,,,349,14
190,Barbados,327,,7,,284,36
191,Cayman Islands,316,,2,,288,26
192,Saint Lucia,305,+2,5,,264,36
193,Seychelles,205,,,,184,21
194,St. Barth,184,+9,1,,172,11
195,Caribbean Netherlands,182,+3,3,,174,5
196,Antigua and Barbuda,153,,5,,144,4
197,Brunei,152,,3,,149,0
